price,phone_type,shop,sales,title
5499.0,64GB,Apple产品京东自营旗舰店,283333.0,iPhone11
6199.0,64GB,Apple产品京东自营旗舰店,370000.0,iPhoneXSMax
6799.0,256GB,Apple产品京东自营旗舰店,283333.0,iPhone11
5999.0,128GB,Apple产品京东自营旗舰店,283333.0,iPhone11
9599.0,64GB,Apple产品京东自营旗舰店,43333.0,iPhone11ProMax
7899.0,512GB,Apple产品京东自营旗舰店,370000.0,iPhoneXSMax
7199.0,256GB,Apple产品京东自营旗舰店,370000.0,iPhoneXSMax
6399.0,8GB+128GB,华为京东自营官方旗舰店,60000.0,华为Mate30Pro
8699.0,64GB,Apple产品京东自营旗舰店,75000.0,iPhone11Pro
12699.0,512GB,Apple产品京东自营旗舰店,43333.0,iPhone11ProMax
10899.0,256GB,Apple产品京东自营旗舰店,43333.0,iPhone11ProMax
7899.0,8GB+512GB,华为京东自营官方旗舰店,60000.0,华为Mate30Pro
6899.0,8GB+256GB,华为京东自营官方旗舰店,60000.0,华为Mate30Pro
11799.0,512GB,Apple产品京东自营旗舰店,75000.0,iPhone11Pro
5499.0,8GB+256GB,华为京东自营官方旗舰店,33750.0,华为Mate30
4999.0,8GB+128GB,华为京东自营官方旗舰店,33750.0,华为Mate30
5999.0,256GB,Apple产品京东自营旗舰店,703333.0,iPhoneXR
2399.0,8GB+128GB,荣耀京东自营旗舰店,800000.0,荣耀V20
3799.0,6GB+128GB,一加手机京东自营官方旗舰店,120000.0,一加7Pro
4999.0,128GB,Apple产品京东自营旗舰店,703333.0,iPhoneXR
4499.0,64GB,Apple产品京东自营旗舰店,703333.0,iPhoneXR
2099.0,8GB+128GB,荣耀京东自营旗舰店,345000.0,荣耀20
4499.0,12GB+256GB,一加手机京东自营官方旗舰店,120000.0,一加7Pro
3899.0,8GB+256GB,一加手机京东自营官方旗舰店,120000.0,一加7Pro
2499.0,8GB+256GB,荣耀京东自营旗舰店,345000.0,荣耀20
1499.0,6GB+128GB,荣耀京东自营旗舰店,95000.0,荣耀20S
1999.0,8GB+128GB,荣耀京东自营旗舰店,95000.0,荣耀20S
1099.0,4GB+64GB,荣耀京东自营旗舰店,195000.0,荣耀9X
1999.0,8GB+128GB,荣耀京东自营旗舰店,195000.0,荣耀9X
1799.0,6GB+128GB,荣耀京东自营旗舰店,195000.0,荣耀9X
1299.0,6GB+64GB,荣耀京东自营旗舰店,195000.0,荣耀9X
2299.0,6GB+128GB,小米京东自营旗舰店,153333.0,小米9
2599.0,8GB+256GB,小米京东自营旗舰店,153333.0,小米9
2499.0,8GB+128GB,小米京东自营旗舰店,153333.0,小米9
5399.0,64GB,Apple产品京东自营旗舰店,126667.0,iPhoneXS
7099.0,512GB,Apple产品京东自营旗舰店,126667.0,iPhoneXS
6399.0,256GB,Apple产品京东自营旗舰店,126667.0,iPhoneXS
2399.0,8GB+128GB,小米京东自营旗舰店,33333.0,RedmiK20Pro
2799.0,12GB+512GB,小米京东自营旗舰店,33333.0,RedmiK20Pro
2499.0,8GB+512GB,小米京东自营旗舰店,33333.0,RedmiK20Pro
4199.0,8GB+256GB,华为京东自营官方旗舰店,10000.0,华为nova6
3899.0,8GB+128GB,荣耀京东自营旗舰店,10000.0,荣耀V30PRO
3799.0,8GB+128GB,华为京东自营官方旗舰店,10000.0,华为nova6
4199.0,8GB+256GB,荣耀京东自营旗舰店,10000.0,荣耀V30PRO
7699.0,128G,聚捷联盛手机旗舰店,558.0,iPhone11
7699.0,256G,聚捷联盛手机旗舰店,558.0,iPhone11
6599.0,128G,聚捷联盛手机旗舰店,558.0,iPhone11
5999.0,64G,聚捷联盛手机旗舰店,558.0,iPhone11
7299.0,256G,聚捷联盛手机旗舰店,558.0,iPhone11
6199.0,128G,聚捷联盛手机旗舰店,558.0,iPhone11
5599.0,64G,聚捷联盛手机旗舰店,558.0,iPhone11
1648.0,6GB+256GB,vivo京东自营官方旗舰店,50000.0,vivoZ5
1698.0,8GB+128GB,vivo京东自营官方旗舰店,102500.0,vivoZ5x
1398.0,6GB+128GB,vivo京东自营官方旗舰店,102500.0,vivoZ5x
2999.0,8GB+128GB,一加手机京东自营官方旗舰店,36500.0,一加7T
2499.0,8GB+128GB,华为京东自营官方旗舰店,160000.0,华为nova5Pro
1298.0,6GB+64GB,vivo京东自营官方旗舰店,102500.0,vivoZ5x
3199.0,8GB+256GB,一加手机京东自营官方旗舰店,36500.0,一加7T
2899.0,8GB+256GB,华为京东自营官方旗舰店,160000.0,华为nova5Pro
4299.0,8GB+128GB,华为京东自营官方旗舰店,33750.0,华为Mate30
2098.0,8GB+128GB,vivo京东自营官方旗舰店,50000.0,vivoZ5
3999.0,6GB+128GB,华为京东自营官方旗舰店,33750.0,华为Mate30
899.0,4GB+64GB,小米京东自营旗舰店,57500.0,小米CC9e
1498.0,6GB+128GB,vivo京东自营官方旗舰店,50000.0,vivoZ5
1298.0,4GB+64GB,vivo京东自营官方旗舰店,102500.0,vivoZ5x
1099.0,4GB+128GB,小米京东自营旗舰店,57500.0,小米CC9e
1299.0,6GB+128GB,小米京东自营旗舰店,57500.0,小米CC9e
4188.0,8GB+256GB,华为京东自营官方旗舰店,150000.0,华为P30
3688.0,8GB+128GB,华为京东自营官方旗舰店,150000.0,华为P30
1599.0,6GB+64GB,华为京东自营官方旗舰店,70000.0,华为nova5z
3388.0,8GB+64GB,华为京东自营官方旗舰店,150000.0,华为P30
1049.0,6GB+64GB,小米京东自营旗舰店,57500.0,小米CC9e
3388.0,6GB+128GB,华为京东自营官方旗舰店,150000.0,华为P30
8999.0,256G,聚捷联盛手机旗舰店,558.0,iPhone11
1799.0,6GB+128GB,华为京东自营官方旗舰店,70000.0,华为nova5z
899.0,4GB+64GB,荣耀京东自营旗舰店,410000.0,荣耀10青春版
5149.0,64GB,聚捷联盛手机旗舰店,558.0,iPhone11
6999.0,64G,聚捷联盛手机旗舰店,558.0,iPhone11
5699.0,128GB,聚捷联盛手机旗舰店,558.0,iPhone11
6599.0,256GB,聚捷联盛手机旗舰店,558.0,iPhone11
1699.0,6GB+128GB,荣耀京东自营旗舰店,410000.0,荣耀10青春版
999.0,6GB+64GB,荣耀京东自营旗舰店,410000.0,荣耀10青春版
3498.0,8GB+128GB,vivo京东自营官方旗舰店,36667.0,vivoiQOOPro
1398.0,6GB+64GB,vivo京东自营官方旗舰店,50000.0,vivoZ5
3798.0,12GB+128GB,vivo京东自营官方旗舰店,36667.0,vivoiQOOPro
3698.0,8GB+256GB,vivo京东自营官方旗舰店,36667.0,vivoiQOOPro
