"type","price","sales","shop","title"
"【顶配版】移动/联通2.8英寸屏","95.00","415976","创于佳讯数码专营店","【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机"
"【升级版】移动/联通2.6英寸屏","89.00","415976","创于佳讯数码专营店","【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机"
"【普通版】移动/联通2.4英寸屏","69.00-79.00","415976","创于佳讯数码专营店","【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机"
"【升级版】电信天翼2.6英寸屏","119.00","415976","创于佳讯数码专营店","【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机"
"【顶配版】电信天翼2.8英寸屏","125.00","415976","创于佳讯数码专营店","【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机"
"【4G版本】全网通用2.8英寸屏","199.00","415976","创于佳讯数码专营店","【4G全网通】纽曼 M560正品老人机超长待机直板老年手机大屏大字大声音移动联通电信版女学生功能按键小手机"
"【奢华版】移动/联通2.8英寸屏","95.00-105.00","440225","尼凯恩旗舰店","【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机"
"【奢华版】天翼电信2.8英寸屏","125.00-135.00","440225","尼凯恩旗舰店","【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机"
"【荣耀版】移动/联通2.6英寸屏","89.00-99.00","440225","尼凯恩旗舰店","【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机"
"【荣耀版】天翼电信2.6英寸屏","119.00-129.00","440225","尼凯恩旗舰店","【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机"
"【尊享版】移动/联通2.4英寸屏","69.00-79.90","440225","尼凯恩旗舰店","【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机"
"【4G版】全网通用2.8英寸屏","199.00","440225","尼凯恩旗舰店","【4G全网通】尼凯恩 EN3正品老人机超长待机三防军工直板老年手机大屏大字大声音移动联通电信版学生按键手机"
"4+64GB","1099.00","145808","荣耀官方旗舰店","【限时低至1099元】华为旗下HONOR/荣耀9X麒麟810芯片4800万超清双摄手机官方旗舰店官方旗舰店全新正品"
"6+64GB","1299.00","145808","荣耀官方旗舰店","【限时低至1099元】华为旗下HONOR/荣耀9X麒麟810芯片4800万超清双摄手机官方旗舰店官方旗舰店全新正品"
"6+128GB","1799.00","145808","荣耀官方旗舰店","【限时低至1099元】华为旗下HONOR/荣耀9X麒麟810芯片4800万超清双摄手机官方旗舰店官方旗舰店全新正品"
"8+128GB","1999.00","145808","荣耀官方旗舰店","【限时低至1099元】华为旗下HONOR/荣耀9X麒麟810芯片4800万超清双摄手机官方旗舰店官方旗舰店全新正品"
"8+128GB","6399.00","32638","华为官方旗舰店","【12期免息】Huawei/华为Mate 30 Pro 5G麒麟990徕卡四摄5G芯片智能手机mate30pro5g官方旗舰店"
"8+256GB","6899.00","32638","华为官方旗舰店","【12期免息】Huawei/华为Mate 30 Pro 5G麒麟990徕卡四摄5G芯片智能手机mate30pro5g官方旗舰店"
"8+512GB","7899.00","32638","华为官方旗舰店","【12期免息】Huawei/华为Mate 30 Pro 5G麒麟990徕卡四摄5G芯片智能手机mate30pro5g官方旗舰店"
"4+64GB","1298.00","106645","vivo官方旗舰店","vivo Z5x极点全面屏高通骁龙710大电池智能手机官方正品手机新品vivoz5x限量版 z3x"
"6+64GB","1298.00","106645","vivo官方旗舰店","vivo Z5x极点全面屏高通骁龙710大电池智能手机官方正品手机新品vivoz5x限量版 z3x"
"6+128GB","1398.00","106645","vivo官方旗舰店","vivo Z5x极点全面屏高通骁龙710大电池智能手机官方正品手机新品vivoz5x限量版 z3x"
"8+128GB","1698.00","106645","vivo官方旗舰店","vivo Z5x极点全面屏高通骁龙710大电池智能手机官方正品手机新品vivoz5x限量版 z3x"
"4+64GB","999.00","37756","小米官方旗舰店","【6GB立省100】红米note8 4800万四摄拍照游戏学生智能手机redmi全面屏pro小米官方旗舰店正品7xiaomi"
"6+64GB","1099.00","37756","小米官方旗舰店","【6GB立省100】红米note8 4800万四摄拍照游戏学生智能手机redmi全面屏pro小米官方旗舰店正品7xiaomi"
"6+128GB","1299.00","37756","小米官方旗舰店","【6GB立省100】红米note8 4800万四摄拍照游戏学生智能手机redmi全面屏pro小米官方旗舰店正品7xiaomi"
"3+32GB","699.00","19528","小米官方旗舰店","【4+64G立省100】红米8A 大电量大屏幕智能游戏学生老年人手机小米官方旗舰店官网redmi红米8a正品"
"4+64GB","699.00","19528","小米官方旗舰店","【4+64G立省100】红米8A 大电量大屏幕智能游戏学生老年人手机小米官方旗舰店官网redmi红米8a正品"
"8+128GB","4999.00","20427","华为官方旗舰店","【12期免息】Huawei/华为Mate 30 5G麒麟990超感光徕卡三摄5G智能手机mate305g官方旗舰店"
"8+256GB","5499.00","20427","华为官方旗舰店","【12期免息】Huawei/华为Mate 30 5G麒麟990超感光徕卡三摄5G智能手机mate305g官方旗舰店"
"6+64GB","1398.00","47635","vivo官方旗舰店","vivo Z5新品vivoz5限量版智能手机官方正品旗舰店官网屏幕指纹学生新款vivoz5x z3x"
"6+128GB","1598.00","47635","vivo官方旗舰店","vivo Z5新品vivoz5限量版智能手机官方正品旗舰店官网屏幕指纹学生新款vivoz5x z3x"
"8+128GB","2098.00","47635","vivo官方旗舰店","vivo Z5新品vivoz5限量版智能手机官方正品旗舰店官网屏幕指纹学生新款vivoz5x z3x"
"4+128GB","1399.00","29107","华为官方旗舰店","Huawei/华为畅享10 Plus超清全视屏4800万三摄智能手机华为官方旗舰店畅享10plus"
"6+128GB","1699.00","29107","华为官方旗舰店","Huawei/华为畅享10 Plus超清全视屏4800万三摄智能手机华为官方旗舰店畅享10plus"
"8+128GB","1899.00","29107","华为官方旗舰店","Huawei/华为畅享10 Plus超清全视屏4800万三摄智能手机华为官方旗舰店畅享10plus"
"6+64GB","1099.00","251213","荣耀官方旗舰店","【低至899元】华为旗下HONOR/荣耀8X全面屏手机屏占比高达91%智能学生青春正品官方旗舰店10青春版"
"6+128GB","1549.00","251213","荣耀官方旗舰店","【低至899元】华为旗下HONOR/荣耀8X全面屏手机屏占比高达91%智能学生青春正品官方旗舰店10青春版"
"64GB","5499.00","21641","苏宁易购官方旗舰店","【26-27日享24期免息】Apple/苹果 iPhone 11 移动联通电信全网通4G 超广角拍照手机苏宁易购官方旗舰店"
"128GB","5999.00","21641","苏宁易购官方旗舰店","【26-27日享24期免息】Apple/苹果 iPhone 11 移动联通电信全网通4G 超广角拍照手机苏宁易购官方旗舰店"
"6+128GB","1399.00","41422","小米官方旗舰店","【6+128G到手价1399】红米note8pro6400万四摄4500mAh大电量小米手机redmi拍照智能学生小米官方旗舰店xiaomi"
"8+128GB","1599.00","41422","小米官方旗舰店","【6+128G到手价1399】红米note8pro6400万四摄4500mAh大电量小米手机redmi拍照智能学生小米官方旗舰店xiaomi"
"8+256GB","1799.00","41422","小米官方旗舰店","【6+128G到手价1399】红米note8pro6400万四摄4500mAh大电量小米手机redmi拍照智能学生小米官方旗舰店xiaomi"
"6+128GB","1699.00","7136","小米官方旗舰店","【限时赠耳机】红米k30 索尼6400万大电量120Hz智能游戏学生手机K20升级redmi小米官方旗舰店网正品xiaomi"
"8+128GB","1899.00","7136","小米官方旗舰店","【限时赠耳机】红米k30 索尼6400万大电量120Hz智能游戏学生手机K20升级redmi小米官方旗舰店网正品xiaomi"
"8+256GB","2199.00","7136","小米官方旗舰店","【限时赠耳机】红米k30 索尼6400万大电量120Hz智能游戏学生手机K20升级redmi小米官方旗舰店网正品xiaomi"
"8+128GB","2499.00","70461","华为官方旗舰店","【直降200】Huawei/华为nova 5 Pro超级夜景4800万AI四摄超广角智能手机nova5pro华为官方旗舰店"
"8+256GB","2899.00-3299.00","70461","华为官方旗舰店","【直降200】Huawei/华为nova 5 Pro超级夜景4800万AI四摄超广角智能手机nova5pro华为官方旗舰店"
"【顶配版】移动联通2.8英寸屏","94.90","123433","天语强宇专卖店","全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用"
"【升级版】移动联通2.6英寸屏","88.90","123433","天语强宇专卖店","全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用"
"【普通版】移动联通2.4英寸屏","68.90-78.90","123433","天语强宇专卖店","全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用"
"【升级版】电信天翼2.6英寸屏","118.90","123433","天语强宇专卖店","全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用"
"【顶配版】电信天翼2.8英寸屏","124.90","123433","天语强宇专卖店","全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用"
"【4G版本】全网通用2.8英寸屏","198.90","123433","天语强宇专卖店","全网通4G天语R7移动联通电信版女超薄老人机超长待机正品按键直板老年手机大屏大字大声音天翼功能小学生备用"
"6+128GB","1699.00","88972","荣耀官方旗舰店","【限时低至1699元】华为旗下HONOR/荣耀V20新品全视屏麒麟980处理器4800万AI摄影手机官方旗舰店v30"
"8+128GB","2399.00","88972","荣耀官方旗舰店","【限时低至1699元】华为旗下HONOR/荣耀V20新品全视屏麒麟980处理器4800万AI摄影手机官方旗舰店v30"
"6+128GB","1599.00","16071","华为官方旗舰店","【直降200】Huawei/华为nova 5z 快充AI四摄4800万四摄人像超级夜景128G大内存智能手机华为官方旗舰店"
"8+128GB","3688.00","76131","华为官方旗舰店","【12期免息】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30华为官方旗舰店"
"8+256GB","4188.00","76131","华为官方旗舰店","【12期免息】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30华为官方旗舰店"
"6+128GB","3388.00","76131","华为官方旗舰店","【12期免息】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30华为官方旗舰店"
"3+64GB","899.00","15258","vivo官方旗舰店","【抢券至高省100】vivo U3x新品vivou3x千元拍照智能手机大电池官方旗舰店官网正品学生老人u1 y93sx27"
