title,sales
尼凯恩EN3,440225.0
纽曼M560,415976.0
荣耀8X,251213.0
苹果iPhoneXR,233196.0
荣耀9X,158865.0
纽曼l6+,135880.0
天语R7,123433.0
创星S1,119605.0
vivoZ5x,106645.0
纽曼F9,97167.0
华为畅享8e,91000.0
荣耀20,90678.0
荣耀V20,88972.0
华为P30Pro,83704.0
华为nova5Pro,77880.0
华为P30,76131.0
荣耀20i,65226.0
纽曼L8S,61100.0
OPPOK3,57627.0
长虹L9,51076.0
红米note8pro,47735.0
vivoZ5,47635.0
红米note8,43115.0
华为畅享9e,38298.0
华为Mate30Pro5G,32638.0
4G全网通皓轩H5,31177.0
红米7A,29505.0
华为畅享10Plus,29107.0
荣耀Magic2滑盖,26340.0
荣耀畅玩8A,23738.0
红米8A,23515.0
誉品Y550正品,23167.0
纽曼W560,22826.0
苹果iPhone11,21641.0
华为Mate30Pro,20822.0
华为nova5iPro,20742.0
华为Mate305G,20427.0
华为Mate30,17532.0
华为nova5z,16071.0
红米k20pro,15559.0
vivoiQOOPro5G,15269.0
vivoU3x,15258.0
OPPORenoAce,13830.0
OPPOK5,13741.0
荣耀Play3,13584.0
关爱心G1,13287.0
vivoiQOONeo,13214.0
小米CC9e,12686.0
中兴守护宝L105,11178.0
纽曼M6,10766.0
上海中兴守护宝L550,9776.0
红米k30,7136.0
SAILFR20,6828.0
小米CC9Pro,5874.0
荣耀20青春版,5351.0
诺基亚105,3942.0
荣耀V30,3579.0
苹果AppleiPhone11,2717.0
诺基亚105新ss,2672.0
荣耀V30PRO,2493.0
